,datetime,price,year,month,day
412,2011-08-09 00:00:00,540000,2011,8,9
413,2011-08-09 10:00:00,548000,2011,8,9
414,2011-08-09 12:00:00,555000,2011,8,9
415,2011-08-10 00:00:00,553000,2011,8,10
416,2011-08-11 00:00:00,563000,2011,8,11
417,2011-08-12 00:00:00,550000,2011,8,12
418,2011-08-15 00:00:00,544000,2011,8,15
419,2011-08-15 12:00:00,547000,2011,8,15
420,2011-08-16 00:00:00,554000,2011,8,16
421,2011-08-18 00:00:00,558000,2011,8,18
422,2011-08-18 12:00:00,560000,2011,8,18
423,2011-08-19 00:00:00,570000,2011,8,19
424,2011-08-19 12:00:00,575000,2011,8,19
425,2011-08-22 00:00:00,585000,2011,8,22
426,2011-08-23 00:00:00,594000,2011,8,23
427,2011-08-24 00:00:00,576000,2011,8,24
428,2011-08-25 08:00:00,552000,2011,8,25
429,2011-08-26 00:00:00,556000,2011,8,26
430,2011-08-30 09:00:00,575000,2011,8,30
431,2011-09-05 00:00:00,590000,2011,9,5
432,2011-09-05 09:00:00,590000,2011,9,5
433,2011-09-07 00:00:00,590000,2011,9,7
434,2011-09-08 00:00:00,577000,2011,9,8
435,2011-09-09 00:00:00,590000,2011,9,9
436,2011-09-12 00:00:00,588000,2011,9,12
437,2011-09-13 09:00:00,578000,2011,9,13
438,2011-09-13 12:00:00,584000,2011,9,13
439,2011-09-14 09:00:00,588000,2011,9,14
440,2011-09-14 12:45:00,594000,2011,9,14
441,2011-09-15 09:00:00,594000,2011,9,15
442,2011-09-16 00:00:00,580000,2011,9,16
443,2011-09-19 00:00:00,596000,2011,9,19
444,2011-09-20 00:00:00,590000,2011,9,20
445,2011-09-21 00:00:00,605000,2011,9,21
446,2011-09-22 00:00:00,595000,2011,9,22
447,2011-09-23 09:00:00,585000,2011,9,23
448,2011-09-26 00:00:00,575000,2011,9,26
449,2011-09-27 00:00:00,575000,2011,9,27
450,2011-09-28 00:00:00,575000,2011,9,28
451,2011-09-29 00:00:00,575000,2011,9,29
452,2011-09-30 00:00:00,575000,2011,9,30
453,2011-10-03 00:00:00,570000,2011,10,3
454,2011-10-04 00:00:00,575000,2011,10,4
455,2011-10-05 00:00:00,572000,2011,10,5
456,2011-10-06 00:00:00,574000,2011,10,6
457,2011-10-07 00:00:00,575000,2011,10,7
458,2011-10-10 00:00:00,575000,2011,10,10
459,2011-10-11 09:00:00,580000,2011,10,11
460,2011-10-12 09:00:00,576000,2011,10,12
461,2011-10-13 09:00:00,580000,2011,10,13
462,2011-10-14 00:00:00,575000,2011,10,14
463,2011-10-17 08:00:00,575000,2011,10,17
464,2011-10-18 09:00:00,571000,2011,10,18
465,2011-10-19 09:00:00,570000,2011,10,19
466,2011-10-20 09:00:00,568000,2011,10,20
467,2011-10-21 09:00:00,565000,2011,10,21
468,2011-10-24 09:00:00,570000,2011,10,24
469,2011-10-25 09:00:00,560000,2011,10,25
470,2011-10-26 09:00:00,570000,2011,10,26
471,2011-10-27 09:00:00,575000,2011,10,27
472,2011-10-28 09:00:00,580000,2011,10,28
473,2011-10-31 09:00:00,573000,2011,10,31
474,2011-11-01 08:00:00,565000,2011,11,1
475,2011-11-02 09:00:00,567000,2011,11,2
476,2011-11-03 09:00:00,572000,2011,11,3
477,2011-11-04 09:00:00,578000,2011,11,4
478,2011-11-07 09:00:00,575000,2011,11,7
479,2011-11-08 09:00:00,584000,2011,11,8
480,2011-11-09 09:00:00,583000,2011,11,9
